election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,ALG,1,#a74c97,1,918,,,Iten,Andreas,1001,True,ALG,#a74c97,male,1994,488,,113,22,17,4,17,193
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,ALG,1,#a74c97,1,918,,,Iten,Paul,1002,False,ALG,#a74c97,male,1954,413,,113,22,17,4,17,193
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,Die Mitte,3,#ff6300,1,2921,,,Dittli,Laura,3001,True,Die Mitte,#ff6300,female,1991,1270,73,,283,28,12,90,560
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,Die Mitte,3,#ff6300,1,2921,,,Gültig,Timo,3003,False,Die Mitte,#ff6300,male,1980,473,73,,283,28,12,90,560
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,Die Mitte,3,#ff6300,1,2921,,,Iten,Daniela,3004,False,Die Mitte,#ff6300,female,1972,286,73,,283,28,12,90,560
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,Die Mitte,3,#ff6300,1,2921,,,Iten,Patrick,3002,False,Die Mitte,#ff6300,male,1975,843,73,,283,28,12,90,560
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,FDP,5,#4068c8,1,1976,,,Letter,Peter,5001,True,FDP,#4068c8,male,1970,1085,19,267,,20,1,143,307
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,FDP,5,#4068c8,1,1976,,,Rogenmoser,Alois,5002,False,FDP,#4068c8,male,1974,835,19,267,,20,1,143,307
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,GLP,6,#aeca00,0,223,,,Hieronymi,Ingrid,6001,False,GLP,#aeca00,female,1958,102,2,23,7,,4,5,55
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,GLP,6,#aeca00,0,223,,,Müller,Franz,6002,False,GLP,#aeca00,male,1959,114,2,23,7,,4,5,55
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,SP,7,#db3c27,0,150,,,Ben Abdelbaki,Omar,7002,False,SP,#db3c27,male,1984,60,23,10,5,7,,0,43
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,SP,7,#db3c27,0,150,,,Sechi,Sabrina,7001,False,SP,#db3c27,female,1988,86,23,10,5,7,,0,43
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,SVP,8,#3f841a,1,1317,,,Pabst,Fabian,8002,False,SVP,#3f841a,male,1965,521,3,12,20,1,1,,135
Kantonsratswahl 2022 Gde Oberägeri,,,,2022-10-02,municipality,proporz,4,,final,,,Oberägeri,1706,True,3748,,1959,4,57,61,1898,87,0,7505,SVP,8,#3f841a,1,1317,,,Wiser,Raphael,8001,True,SVP,#3f841a,male,1976,757,3,12,20,1,1,,135
